ND1;ND2;VA;V1;V2;Vb;Vb-V1;Vb-V2;a1;a2;x1;x2;phi1;phi2
1.00E+16;1.20E+16;0.3;0.196103283;-0.108600613;0.488575256;0.292471973;0.597175869;0.477093456;0.477093456;1.95E-05;2.54E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.4;0.196103283;-0.208600613;0.446755708;0.250652424;0.65535632;0.462368963;0.462368963;1.81E-05;2.66E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.5;0.196103283;-0.308600613;0.407960632;0.211857349;0.716561245;0.447485321;0.447485321;1.66E-05;2.78E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.6;0.196103283;-0.408600613;0.372239734;0.17613645;0.780840346;0.432439265;0.432439265;1.51E-05;2.90E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.7;0.196103283;-0.508600613;0.339644091;0.143540807;0.848244704;0.417227431;0.417227431;1.37E-05;3.03E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.8;0.196103283;-0.608600613;0.310226214;0.114122931;0.918826827;0.401846348;0.401846348;1.22E-05;3.15E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.9;0.196103283;-0.708600613;0.284040101;0.087936818;0.992640714;0.386292435;0.386292435;1.07E-05;3.27E-05;0.435600009;0.440303906
1.00E+16;1.40E+16;0;0.196103283;0.1874223;0.594886592;0.398783308;0.407464292;#DIV/0!;#DIV/0!;2.28E-05;1.95E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.9;0.196103283;1.0874223;1.193203441;0.997100158;0.105781142;0.6647965;0.6647965;3.60E-05;1.00E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.8;0.196103283;0.9874223;1.116293411;0.920190128;0.128871111;0.651758524;0.651758524;3.46E-05;1.10E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.7;0.196103283;0.8874223;1.041823949;0.845720665;0.154401649;0.638481938;0.638481938;3.31E-05;1.20E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.6;0.196103283;0.7874223;0.969861681;0.773758397;0.182439381;0.624958481;0.624958481;3.17E-05;1.31E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.5;0.196103283;0.6874223;0.900476322;0.704373038;0.213054022;0.61117946;0.61117946;3.02E-05;1.41E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.4;0.196103283;0.5874223;0.833740878;0.637637595;0.246318578;0.597135716;0.597135716;2.88E-05;1.52E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.3;0.196103283;0.4874223;0.76973187;0.573628587;0.28230957;0.582817594;0.582817594;2.73E-05;1.62E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.2;0.196103283;0.3874223;0.708529573;0.51242629;0.321107273;0.568214906;0.568214906;2.58E-05;1.73E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.1;0.196103283;0.2874223;0.65021828;0.454114997;0.362795981;0.553316886;0.553316886;2.43E-05;1.84E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.1;0.196103283;0.0874223;0.542627727;0.346524443;0.455205427;0.522588651;0.522588651;2.12E-05;2.06E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.2;0.196103283;-0.0125777;0.493539869;0.297436586;0.50611757;0.506733612;0.506733612;1.97E-05;2.17E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.3;0.196103283;-0.1125777;0.447726546;0.251623263;0.560304247;0.490533485;0.490533485;1.81E-05;2.28E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.4;0.196103283;-0.2125777;0.405297044;0.209193761;0.617874744;0.47397387;0.47397387;1.65E-05;2.39E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.5;0.196103283;-0.3125777;0.366366865;0.170263582;0.678944566;0.457039453;0.457039453;1.49E-05;2.51E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.6;0.196103283;-0.4125777;0.331058239;0.134954955;0.743635939;0.439713922;0.439713922;1.33E-05;2.62E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.7;0.196103283;-0.5125777;0.299500678;0.103397394;0.812078378;0.421979877;0.421979877;1.16E-05;2.74E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.8;0.196103283;-0.6125777;0.271831605;0.075728321;0.884409305;0.403818734;0.403818734;9.95E-06;2.86E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;0.9;0.196103283;-0.7125777;0.248197043;0.052093759;0.960774743;0.38521061;0.38521061;8.26E-06;2.98E-05;0.398783308;0.407464292
1.00E+16;1.60E+16;0;0.196103283;0.18397719;0.564194298;0.368091015;0.380217108;#DIV/0!;#DIV/0!;2.19E-05;1.76E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.9;0.196103283;1.08397719;1.179573776;0.983470492;0.095596586;0.683754975;0.683754975;3.57E-05;8.92E-06;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.8;0.196103283;0.98397719;1.100815181;0.904711898;0.116837991;0.670776103;0.670776103;3.43E-05;9.83E-06;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.7;0.196103283;0.88397719;1.024416281;0.828312998;0.140439091;0.657459976;0.657459976;3.28E-05;1.08E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.6;0.196103283;0.78397719;0.950468271;0.754364988;0.166491081;0.643789954;0.643789954;3.13E-05;1.17E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.5;0.196103283;0.68397719;0.879068375;0.682965092;0.195091185;0.629748154;0.629748154;2.98E-05;1.26E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.4;0.196103283;0.58397719;0.810320422;0.614217138;0.226343232;0.615315308;0.615315308;2.82E-05;1.36E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.3;0.196103283;0.48397719;0.744335487;0.548232204;0.260358297;0.600470629;0.600470629;2.67E-05;1.46E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.2;0.196103283;0.38397719;0.681232626;0.485129342;0.297255436;0.585191638;0.585191638;2.51E-05;1.56E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;-0.1;0.196103283;0.28397719;0.621139696;0.425036412;0.337162506;0.569453977;0.569453977;2.35E-05;1.66E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.1;0.196103283;0.08397719;0.510544849;0.314441565;0.426567659;0.536494496;0.536494496;2.02E-05;1.86E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.2;0.196103283;-0.01602281;0.460351807;0.264248524;0.476374617;0.519212456;0.519212456;1.85E-05;1.97E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.3;0.196103283;-0.11602281;0.413789092;0.217685808;0.529811902;0.501350688;0.501350688;1.68E-05;2.07E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.4;0.196103283;-0.21602281;0.371045715;0.174942431;0.587068525;0.482871459;0.482871459;1.51E-05;2.18E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.5;0.196103283;-0.31602281;0.332327682;0.136224398;0.648350492;0.463733233;0.463733233;1.33E-05;2.29E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.6;0.196103283;-0.41602281;0.297860212;0.101756928;0.713883022;0.443890144;0.443890144;1.15E-05;2.40E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.7;0.196103283;-0.51602281;0.267890344;0.07178706;0.783913154;0.423291364;0.423291364;9.69E-06;2.52E-05;0.368091015;0.380217108
1.00E+16;1.60E+16;0.8;0.196103283;-0.61602281;0.242690016;0.046586732;0.858712826;0.401880353;0.401880353;7.82E-06;2.64E-05;0.368091015;0.380217108
